mydate,cday,dday,ma
2020-07-25,12,0,6.142857142857143
2020-07-26,2,0,5.714285714285714
2020-07-27,9,0,7.142857142857143
2020-07-28,11,0,8.285714285714286
2020-07-29,4,0,8.142857142857142
2020-07-30,7,0,7.285714285714286
2020-07-31,6,0,7.285714285714286
2020-08-01,4,0,6.142857142857143
2020-08-02,2,0,6.142857142857143
2020-08-03,8,0,6.0
2020-08-04,4,0,5.0
2020-08-05,1,0,4.571428571428571
2020-08-06,0,0,3.5714285714285716
2020-08-07,7,0,3.7142857142857144
2020-08-08,5,0,3.857142857142857
2020-08-09,0,0,3.5714285714285716
2020-08-10,6,0,3.2857142857142856
2020-08-11,7,0,3.7142857142857144
2020-08-12,4,0,4.142857142857143
2020-08-13,7,0,5.142857142857143
2020-08-14,13,0,6.0
2020-08-15,6,0,6.142857142857143
2020-08-16,8,0,7.285714285714286
2020-08-17,3,0,6.857142857142857
2020-08-18,3,0,6.285714285714286
2020-08-19,4,1,6.285714285714286
2020-08-20,5,0,6.0
2020-08-21,8,0,5.285714285714286
2020-08-22,3,0,4.857142857142857
2020-08-23,3,0,4.142857142857143
2020-08-24,2,0,4.0
2020-08-25,1,0,3.7142857142857144
2020-08-26,0,0,3.142857142857143
2020-08-27,3,0,2.857142857142857
2020-08-28,9,1,3.0
2020-08-29,3,0,3.0
2020-08-30,8,0,3.7142857142857144
2020-08-31,6,0,4.285714285714286
2020-09-01,4,-1,4.714285714285714
2020-09-02,7,2,5.714285714285714
2020-09-03,1,0,5.428571428571429
2020-09-04,3,0,4.571428571428571
2020-09-05,5,0,4.857142857142857
2020-09-06,3,0,4.142857142857143
2020-09-07,5,0,4.0
2020-09-08,5,0,4.142857142857143
2020-09-09,2,0,3.4285714285714284
2020-09-10,4,0,3.857142857142857
2020-09-11,5,0,4.142857142857143
2020-09-12,5,0,4.142857142857143
2020-09-13,7,0,4.714285714285714
2020-09-14,0,0,4.0
2020-09-15,3,0,3.7142857142857144
2020-09-16,3,0,3.857142857142857
2020-09-17,2,0,3.5714285714285716
2020-09-18,4,0,3.4285714285714284
2020-09-19,8,0,3.857142857142857
2020-09-20,1,0,3.0
2020-09-21,1,0,3.142857142857143
2020-09-22,8,0,3.857142857142857
2020-09-23,0,0,3.4285714285714284
2020-09-24,4,0,3.7142857142857144
2020-09-25,8,0,4.285714285714286
2020-09-26,6,0,4.0
2020-09-27,1,0,4.0
2020-09-28,2,0,4.142857142857143
2020-09-29,3,0,3.4285714285714284
2020-09-30,0,0,3.4285714285714284
2020-10-01,3,0,3.2857142857142856
2020-10-02,5,0,2.857142857142857
2020-10-03,6,0,2.857142857142857
2020-10-04,4,0,3.2857142857142856
2020-10-05,3,0,3.4285714285714284
2020-10-06,11,0,4.571428571428571
2020-10-07,3,0,5.0
2020-10-08,4,0,5.142857142857143
2020-10-09,7,0,5.428571428571429
2020-10-10,1,0,4.714285714285714
2020-10-11,4,0,4.714285714285714
2020-10-12,1,0,4.428571428571429
2020-10-13,3,0,3.2857142857142856
2020-10-14,4,0,3.4285714285714284
2020-10-15,12,0,4.571428571428571
2020-10-16,12,0,5.285714285714286
2020-10-17,8,0,6.285714285714286
2020-10-18,2,0,6.0
2020-10-19,3,0,6.285714285714286
2020-10-20,6,0,6.714285714285714
2020-10-21,2,0,6.428571428571429
2020-10-22,0,0,4.714285714285714
2020-10-23,4,0,3.5714285714285716
2020-10-24,5,0,3.142857142857143
2020-10-25,2,0,3.142857142857143
2020-10-26,4,0,3.2857142857142856
2020-10-27,3,0,2.857142857142857
2020-10-28,6,0,3.4285714285714284
2020-10-29,5,0,4.142857142857143
2020-10-30,7,0,4.571428571428571
2020-10-31,15,0,6.0
2020-11-01,5,0,6.428571428571429
2020-11-02,11,0,7.428571428571429
2020-11-03,13,0,8.857142857142858
2020-11-04,13,0,9.857142857142858
2020-11-05,8,0,10.285714285714286
2020-11-06,15,0,11.428571428571429
2020-11-07,11,0,10.857142857142858
2020-11-08,17,0,12.571428571428571
2020-11-09,17,0,13.428571428571429
2020-11-10,15,0,13.714285714285714
2020-11-11,10,0,13.285714285714286
