mydate,cday,dday,ma
2020-08-03,29,0,43.42857142857143
2020-08-04,31,1,41.0
2020-08-05,37,0,42.57142857142857
2020-08-06,32,1,38.42857142857143
2020-08-07,27,1,35.285714285714285
2020-08-08,24,0,31.285714285714285
2020-08-09,26,0,29.428571428571427
2020-08-10,14,0,27.285714285714285
2020-08-11,17,0,25.285714285714285
2020-08-12,36,0,25.142857142857142
2020-08-13,37,0,25.857142857142858
2020-08-14,37,1,27.285714285714285
2020-08-15,38,0,29.285714285714285
2020-08-16,36,0,30.714285714285715
2020-08-17,21,0,31.714285714285715
2020-08-18,14,1,31.285714285714285
2020-08-19,31,0,30.571428571428573
2020-08-20,27,0,29.142857142857142
2020-08-21,24,0,27.285714285714285
2020-08-22,32,0,26.428571428571427
2020-08-23,15,0,23.428571428571427
2020-08-24,17,0,22.857142857142858
2020-08-25,15,1,23.0
2020-08-26,25,0,22.142857142857142
2020-08-27,16,0,20.571428571428573
2020-08-28,49,0,24.142857142857142
2020-08-29,26,1,23.285714285714285
2020-08-30,34,0,26.0
2020-08-31,20,0,26.428571428571427
2020-09-01,28,0,28.285714285714285
2020-09-02,32,1,29.285714285714285
2020-09-03,45,1,33.42857142857143
2020-09-04,59,1,34.857142857142854
2020-09-05,35,0,36.142857142857146
2020-09-06,41,0,37.142857142857146
2020-09-07,26,1,38.0
2020-09-08,27,0,37.857142857142854
2020-09-09,27,1,37.142857142857146
2020-09-10,32,1,35.285714285714285
2020-09-11,39,2,32.42857142857143
2020-09-12,34,0,32.285714285714285
2020-09-13,30,0,30.714285714285715
2020-09-14,25,1,30.571428571428573
2020-09-15,51,1,34.0
2020-09-16,30,0,34.42857142857143
2020-09-17,40,1,35.57142857142857
2020-09-18,34,1,34.857142857142854
2020-09-19,46,0,36.57142857142857
2020-09-20,37,2,37.57142857142857
2020-09-21,32,3,38.57142857142857
2020-09-22,27,3,35.142857142857146
2020-09-23,37,1,36.142857142857146
2020-09-24,46,0,37.0
2020-09-25,32,0,36.714285714285715
2020-09-26,50,0,37.285714285714285
2020-09-27,31,0,36.42857142857143
2020-09-28,30,0,36.142857142857146
2020-09-29,32,0,36.857142857142854
2020-09-30,48,0,38.42857142857143
2020-10-01,36,3,37.0
2020-10-02,48,1,39.285714285714285
2020-10-03,25,4,35.714285714285715
2020-10-04,25,2,34.857142857142854
2020-10-05,19,0,33.285714285714285
2020-10-06,27,1,32.57142857142857
2020-10-07,48,1,32.57142857142857
2020-10-08,38,2,32.857142857142854
2020-10-09,67,0,35.57142857142857
2020-10-10,34,0,36.857142857142854
2020-10-11,38,-1,38.714285714285715
2020-10-12,37,1,41.285714285714285
2020-10-13,34,1,42.285714285714285
2020-10-14,27,0,39.285714285714285
2020-10-15,64,0,43.0
2020-10-16,43,0,39.57142857142857
