mydate,cday,dday,ma
2020-08-02,45,0,127.14285714285714
2020-08-03,83,0,124.57142857142857
2020-08-04,113,0,119.57142857142857
2020-08-05,93,0,104.42857142857143
2020-08-06,53,0,86.71428571428571
2020-08-07,59,0,74.57142857142857
2020-08-08,0,0,63.714285714285715
2020-08-09,98,0,71.28571428571429
2020-08-10,71,0,69.57142857142857
2020-08-11,103,0,68.14285714285714
2020-08-12,90,0,67.71428571428571
2020-08-13,92,0,73.28571428571429
2020-08-14,112,0,80.85714285714286
2020-08-15,90,0,93.71428571428571
2020-08-16,39,4,85.28571428571429
2020-08-17,111,4,91.0
2020-08-18,50,0,83.42857142857143
2020-08-19,135,1,89.85714285714286
2020-08-20,55,0,84.57142857142857
2020-08-21,86,0,80.85714285714286
2020-08-22,73,0,78.42857142857143
2020-08-23,60,0,81.42857142857143
2020-08-24,71,0,75.71428571428571
2020-08-25,48,0,75.42857142857143
2020-08-26,54,0,63.857142857142854
2020-08-27,81,0,67.57142857142857
2020-08-28,85,2,67.42857142857143
2020-08-29,74,1,67.57142857142857
2020-08-30,61,2,67.71428571428571
2020-08-31,36,4,62.714285714285715
2020-09-01,72,0,66.14285714285714
2020-09-02,60,0,67.0
2020-09-03,78,0,66.57142857142857
2020-09-04,63,0,63.42857142857143
2020-09-05,74,0,63.42857142857143
2020-09-06,64,0,63.857142857142854
2020-09-07,89,0,71.42857142857143
2020-09-08,52,0,68.57142857142857
2020-09-09,62,0,68.85714285714286
2020-09-10,42,0,63.714285714285715
2020-09-11,83,0,66.57142857142857
2020-09-12,91,0,69.0
2020-09-13,101,0,74.28571428571429
2020-09-14,59,4,70.0
2020-09-15,74,0,73.14285714285714
2020-09-16,71,-1,74.42857142857143
2020-09-17,76,0,79.28571428571429
2020-09-18,79,0,78.71428571428571
2020-09-19,47,0,72.42857142857143
2020-09-20,84,0,70.0
2020-09-21,124,0,79.28571428571429
2020-09-22,47,7,75.42857142857143
2020-09-23,78,0,76.42857142857143
2020-09-24,60,0,74.14285714285714
2020-09-25,86,0,75.14285714285714
2020-09-26,60,5,77.0
2020-09-27,73,0,75.42857142857143
2020-09-28,73,0,68.14285714285714
2020-09-29,0,0,61.42857142857143
2020-09-30,0,0,50.285714285714285
2020-10-01,0,0,41.714285714285715
2020-10-02,161,-5,52.42857142857143
2020-10-03,72,0,54.142857142857146
2020-10-04,55,0,51.57142857142857
2020-10-05,75,0,51.857142857142854
2020-10-06,99,0,66.0
2020-10-07,83,0,77.85714285714286
2020-10-08,58,0,86.14285714285714
2020-10-09,110,10,78.85714285714286
2020-10-10,212,2,98.85714285714286
2020-10-11,0,0,91.0
2020-10-12,0,0,80.28571428571429
2020-10-13,0,0,66.14285714285714
2020-10-14,410,8,112.85714285714286
2020-10-15,110,-5,120.28571428571429
2020-10-16,157,0,127.0
2020-10-17,130,10,115.28571428571429
2020-10-18,125,0,133.14285714285714
2020-10-19,130,1,151.71428571428572
2020-10-20,148,3,172.85714285714286
2020-10-21,65,0,123.57142857142857
2020-10-22,104,0,122.71428571428571
2020-10-23,95,0,113.85714285714286
2020-10-24,250,3,131.0
2020-10-25,168,0,137.14285714285714
2020-10-26,116,0,135.14285714285714
2020-10-27,143,0,134.42857142857142
2020-10-28,122,0,142.57142857142858
2020-10-29,0,0,127.71428571428571
2020-10-30,320,0,159.85714285714286
2020-10-31,232,9,157.28571428571428
2020-11-01,180,0,159.0
2020-11-02,151,0,164.0
2020-11-03,166,1,167.28571428571428
2020-11-04,204,0,179.0
2020-11-05,228,0,211.57142857142858
2020-11-06,280,0,205.85714285714286
2020-11-07,361,0,224.28571428571428
2020-11-08,330,0,245.71428571428572
2020-11-09,239,0,258.2857142857143
2020-11-10,233,6,267.85714285714283
2020-11-11,337,1,286.85714285714283
2020-11-12,386,1,309.42857142857144
2020-11-13,243,2,304.14285714285717
2020-11-14,692,2,351.42857142857144
2020-11-15,0,0,304.2857142857143
2020-11-16,287,0,311.14285714285717
2020-11-17,456,6,343.0
2020-11-18,388,0,350.2857142857143
2020-11-19,291,2,336.7142857142857
2020-11-20,375,3,355.57142857142856
2020-11-21,387,6,312.0
2020-11-22,358,0,363.14285714285717
2020-11-23,254,0,358.42857142857144
2020-11-24,324,16,339.57142857142856
2020-11-25,306,5,327.85714285714283
2020-11-26,305,5,329.85714285714283
2020-11-27,231,0,309.2857142857143
2020-11-28,238,1,288.0
2020-11-29,233,0,270.14285714285717
2020-11-30,265,0,271.7142857142857
2020-12-01,283,5,265.85714285714283
2020-12-02,229,1,254.85714285714286
2020-12-03,328,0,258.14285714285717
2020-12-04,241,0,259.57142857142856
2020-12-05,361,0,277.14285714285717
2020-12-06,272,0,282.7142857142857
2020-12-07,184,0,271.14285714285717
2020-12-08,249,9,266.2857142857143
2020-12-09,177,1,258.85714285714283
2020-12-10,256,0,248.57142857142858
2020-12-11,0,0,214.14285714285714
2020-12-12,531,5,238.42857142857142
2020-12-13,279,0,239.42857142857142
2020-12-14,197,0,241.28571428571428
2020-12-15,241,11,240.14285714285714
2020-12-16,213,0,245.28571428571428
2020-12-17,207,4,238.28571428571428
2020-12-18,362,3,290.0
2020-12-19,257,7,250.85714285714286
2020-12-20,216,2,241.85714285714286
2020-12-21,157,0,236.14285714285714
2020-12-22,181,2,227.57142857142858
2020-12-23,273,7,236.14285714285714
2020-12-24,187,6,233.28571428571428
2020-12-25,122,5,199.0
2020-12-26,161,0,185.28571428571428
2020-12-27,88,0,167.0
2020-12-28,90,0,157.42857142857142
2020-12-29,170,7,155.85714285714286
2020-12-30,176,1,142.0
2020-12-31,218,-2,146.42857142857142
2021-01-01,272,3,167.85714285714286
2021-01-02,142,0,165.14285714285714
2021-01-03,174,0,177.42857142857142
2021-01-04,97,0,178.42857142857142
2021-01-05,170,8,178.42857142857142
2021-01-06,201,1,182.0
2021-01-07,272,0,189.71428571428572
2021-01-08,275,0,190.14285714285714
2021-01-09,265,1,207.71428571428572
2021-01-10,209,0,212.71428571428572
2021-01-11,105,0,213.85714285714286
