mydate,cday,dday,ma
2020-03-16,0,0,0.0
2020-03-17,0,0,0.0
2020-03-18,2,1,0.2857142857142857
2020-03-19,0,0,0.2857142857142857
2020-03-20,0,0,0.2857142857142857
2020-03-21,1,0,0.42857142857142855
2020-03-22,1,0,0.5714285714285714
2020-03-23,0,0,0.5714285714285714
2020-03-24,0,0,0.5714285714285714
2020-03-25,1,0,0.42857142857142855
2020-03-26,2,0,0.7142857142857143
2020-03-27,3,0,1.1428571428571428
2020-03-28,-1,0,0.8571428571428571
2020-03-29,1,0,0.8571428571428571
2020-03-30,2,0,1.1428571428571428
2020-03-31,4,0,1.7142857142857142
2020-04-01,2,0,1.8571428571428572
2020-04-02,3,0,2.0
2020-04-03,0,0,1.5714285714285714
2020-04-04,0,0,1.7142857142857142
2020-04-05,6,0,2.4285714285714284
2020-04-06,0,0,2.142857142857143
2020-04-07,2,0,1.8571428571428572
2020-04-08,1,0,1.7142857142857142
2020-04-09,3,0,1.7142857142857142
2020-04-10,0,0,1.7142857142857142
2020-04-11,1,0,1.8571428571428572
2020-04-12,3,0,1.4285714285714286
2020-04-13,4,0,2.0
2020-04-14,1,0,1.8571428571428572
2020-04-15,2,0,2.0
2020-04-16,1,0,1.7142857142857142
2020-04-17,1,0,1.8571428571428572
2020-04-18,0,0,1.7142857142857142
2020-04-19,2,0,1.5714285714285714
2020-04-20,0,0,1.0
2020-04-21,0,0,0.8571428571428571
2020-04-22,0,0,0.5714285714285714
2020-04-23,0,0,0.42857142857142855
2020-04-24,2,0,0.5714285714285714
2020-04-25,0,1,0.5714285714285714
2020-04-26,0,0,0.2857142857142857
2020-04-27,0,0,0.2857142857142857
2020-04-28,0,0,0.2857142857142857
2020-04-29,0,0,0.2857142857142857
2020-04-30,0,0,0.2857142857142857
2020-05-01,0,0,0.0
2020-05-02,4,0,0.5714285714285714
2020-05-03,0,0,0.5714285714285714
2020-05-04,1,0,0.7142857142857143
2020-05-05,0,0,0.7142857142857143
2020-05-06,2,0,1.0
2020-05-07,0,0,1.0
2020-05-08,2,0,1.2857142857142858
2020-05-09,1,0,0.8571428571428571
2020-05-10,0,0,0.8571428571428571
2020-05-11,0,0,0.7142857142857143
2020-05-12,1,0,0.8571428571428571
2020-05-13,0,0,0.5714285714285714
2020-05-14,0,0,0.5714285714285714
2020-05-15,0,0,0.2857142857142857
2020-05-16,3,0,0.5714285714285714
2020-05-17,0,0,0.5714285714285714
2020-05-18,1,0,0.7142857142857143
2020-05-19,0,0,0.5714285714285714
2020-05-20,1,0,0.7142857142857143
2020-05-21,0,0,0.7142857142857143
2020-05-22,0,0,0.7142857142857143
2020-05-23,1,0,0.42857142857142855
2020-05-24,0,0,0.42857142857142855
2020-05-25,0,0,0.2857142857142857
2020-05-26,0,0,0.2857142857142857
2020-05-27,0,0,0.14285714285714285
2020-05-28,0,0,0.14285714285714285
2020-05-29,1,0,0.2857142857142857
2020-05-30,1,1,0.2857142857142857
2020-05-31,4,0,0.8571428571428571
2020-06-01,4,0,1.4285714285714286
2020-06-02,0,0,1.4285714285714286
2020-06-03,0,0,1.4285714285714286
2020-06-04,3,0,1.8571428571428572
2020-06-05,0,0,1.7142857142857142
2020-06-06,0,0,1.5714285714285714
2020-06-07,0,0,1.0
2020-06-08,1,0,0.5714285714285714
2020-06-09,0,0,0.5714285714285714
2020-06-10,1,0,0.7142857142857143
2020-06-11,3,0,0.7142857142857143
2020-06-12,0,0,0.7142857142857143
2020-06-13,0,0,0.7142857142857143
2020-06-14,4,0,1.2857142857142858
2020-06-15,0,0,1.1428571428571428
2020-06-16,1,0,1.2857142857142858
2020-06-17,0,0,1.1428571428571428
2020-06-18,0,0,0.7142857142857143
2020-06-19,3,0,1.1428571428571428
2020-06-20,2,0,1.4285714285714286
2020-06-21,7,0,1.8571428571428572
2020-06-22,4,0,2.4285714285714284
2020-06-23,1,0,2.4285714285714284
2020-06-24,0,0,2.4285714285714284
2020-06-25,5,0,3.142857142857143
2020-06-26,10,0,4.142857142857143
2020-06-27,14,0,5.857142857142857
2020-06-28,3,0,5.285714285714286
2020-06-29,6,0,5.571428571428571
2020-06-30,6,0,6.285714285714286
2020-07-01,14,0,8.285714285714286
2020-07-02,15,0,9.714285714285714
2020-07-03,16,0,10.571428571428571
2020-07-04,12,0,10.285714285714286
2020-07-05,10,0,11.285714285714286
2020-07-06,10,0,11.857142857142858
2020-07-07,15,0,13.142857142857142
2020-07-08,10,0,12.571428571428571
2020-07-09,18,0,13.0
2020-07-10,10,0,12.142857142857142
2020-07-11,13,0,12.285714285714286
2020-07-12,11,0,12.428571428571429
2020-07-13,4,0,11.571428571428571
2020-07-14,8,0,10.571428571428571
2020-07-15,7,0,10.142857142857142
2020-07-16,12,0,9.285714285714286
2020-07-17,10,0,9.285714285714286
2020-07-18,38,0,12.857142857142858
2020-07-19,10,0,12.714285714285714
2020-07-20,4,0,12.714285714285714
2020-07-21,3,0,12.0
2020-07-22,6,0,11.857142857142858
2020-07-23,12,0,11.857142857142858
2020-07-24,16,0,12.714285714285714
2020-07-25,5,0,8.0
2020-07-26,8,0,7.714285714285714
2020-07-27,7,0,8.142857142857142
2020-07-28,6,0,8.571428571428571
2020-07-29,13,0,9.571428571428571
2020-07-30,10,0,9.285714285714286
2020-07-31,17,0,9.428571428571429
2020-08-01,10,0,10.142857142857142
2020-08-02,7,0,10.0
2020-08-03,5,0,9.714285714285714
2020-08-04,12,0,10.571428571428571
2020-08-05,5,0,9.428571428571429
2020-08-06,12,0,9.714285714285714
2020-08-07,13,0,9.142857142857142
2020-08-08,14,0,9.714285714285714
2020-08-09,6,0,9.571428571428571
2020-08-10,5,0,9.571428571428571
2020-08-11,6,0,8.714285714285714
2020-08-12,10,0,9.428571428571429
2020-08-13,5,0,8.428571428571429
2020-08-14,4,1,7.142857142857143
2020-08-15,6,0,6.0
2020-08-16,4,0,5.714285714285714
2020-08-17,4,0,5.571428571428571
2020-08-18,3,0,5.142857142857143
2020-08-19,4,0,4.285714285714286
2020-08-20,7,0,4.571428571428571
2020-08-21,4,1,4.571428571428571
2020-08-22,5,0,4.428571428571429
2020-08-23,2,0,4.142857142857143
2020-08-24,2,0,3.857142857142857
2020-08-25,3,0,3.857142857142857
2020-08-26,8,0,4.428571428571429
2020-08-27,5,0,4.142857142857143
2020-08-28,10,0,5.0
2020-08-29,11,1,5.857142857142857
2020-08-30,9,0,6.857142857142857
2020-08-31,15,0,8.714285714285714
2020-09-01,9,0,9.571428571428571
2020-09-02,10,0,9.857142857142858
2020-09-03,11,0,10.714285714285714
2020-09-04,22,0,12.428571428571429
2020-09-05,6,0,11.714285714285714
2020-09-06,14,1,12.428571428571429
2020-09-07,6,1,11.142857142857142
2020-09-08,6,1,10.714285714285714
2020-09-09,11,1,10.857142857142858
2020-09-10,5,1,10.0
2020-09-11,8,0,8.0
2020-09-12,13,1,9.0
2020-09-13,8,1,8.142857142857142
2020-09-14,0,0,7.285714285714286
2020-09-15,29,1,10.571428571428571
2020-09-16,15,0,11.142857142857142
2020-09-17,23,0,13.714285714285714
2020-09-18,20,0,15.428571428571429
2020-09-19,11,1,15.142857142857142
2020-09-20,20,0,16.857142857142858
2020-09-21,27,0,20.714285714285715
2020-09-22,32,0,21.142857142857142
2020-09-23,36,1,24.142857142857142
2020-09-24,37,0,26.142857142857142
2020-09-25,47,1,30.0
2020-09-26,42,0,34.42857142857143
2020-09-27,25,0,35.142857142857146
2020-09-28,24,0,34.714285714285715
2020-09-29,33,0,34.857142857142854
2020-09-30,26,0,33.42857142857143
2020-10-01,30,0,32.42857142857143
2020-10-02,38,1,31.142857142857142
2020-10-03,79,1,36.42857142857143
2020-10-04,30,0,37.142857142857146
2020-10-05,30,0,38.0
2020-10-06,51,0,40.57142857142857
2020-10-07,52,0,44.285714285714285
2020-10-08,71,1,50.142857142857146
2020-10-09,34,1,49.57142857142857
2020-10-10,72,0,48.57142857142857
2020-10-11,21,0,47.285714285714285
2020-10-12,29,0,47.142857142857146
2020-10-13,37,0,45.142857142857146
2020-10-14,57,0,45.857142857142854
2020-10-15,33,1,40.42857142857143
2020-10-16,54,0,43.285714285714285
2020-10-17,47,0,39.714285714285715
2020-10-18,33,0,41.42857142857143
2020-10-19,37,3,42.57142857142857
2020-10-20,42,1,43.285714285714285
2020-10-21,42,0,41.142857142857146
2020-10-22,0,0,36.42857142857143
2020-10-23,82,1,40.42857142857143
2020-10-24,32,0,38.285714285714285
2020-10-25,28,0,37.57142857142857
2020-10-26,38,0,37.714285714285715
2020-10-27,27,0,35.57142857142857
2020-10-28,32,0,34.142857142857146
2020-10-29,16,0,36.42857142857143
2020-10-30,34,0,29.571428571428573
2020-10-31,63,1,34.0
2020-11-01,32,0,34.57142857142857
2020-11-02,11,0,30.714285714285715
2020-11-03,26,0,30.571428571428573
2020-11-04,22,0,29.142857142857142
2020-11-05,34,0,31.714285714285715
2020-11-06,39,0,32.42857142857143
2020-11-07,76,1,34.285714285714285
2020-11-08,54,0,37.42857142857143
2020-11-09,35,3,40.857142857142854
2020-11-10,48,0,44.0
